"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3618","@UI First PW UI Execution","chromium","2026-06-02","broken","2026-06-02","","WebAPIPart2.spec.js","",""
"","0","@UI locators Execution","chromium","2026-06-02","skipped","2026-06-02","","WebAPIPart2.spec.js","",""
